"theDate","Label1","Deaths","Population","percapita","standardpop","ASM"
2023-08-30,"80 and over",61,207560.869565217,0.000293889691866189,208100,61.158444877354
2023-08-31,"80 and over",61.1020408163265,207578.260869565,0.00029435664679126,208100,61.2556181972611
2023-09-01,"80 and over",61.2040816326531,207595.652173913,0.000294823523478129,208100,61.3527752357986
2023-09-02,"80 and over",61.3061224489796,207613.043478261,0.000295290321946458,208100,61.4499159970579
2023-09-03,"80 and over",61.4081632653061,207630.434782609,0.000295757042215902,208100,61.5470404851292
2023-09-04,"80 and over",61.5102040816327,207647.826086957,0.00029622368430611,208100,61.6441487041015
2023-09-05,"80 and over",61.6122448979592,207665.217391304,0.000296690248236723,208100,61.7412406580621
2023-09-06,"80 and over",61.7142857142857,207682.608695652,0.000297156734027377,208100,61.8383163510971
2023-09-07,"80 and over",61.0612244897959,207700,0.000293987599854578,208100,61.1788195297378
2023-09-08,"80 and over",60.4081632653061,207717.391304348,0.000290818996358355,208100,60.5194331421737
2023-09-09,"80 and over",59.7551020408163,207734.782608696,0.000287650923405424,208100,59.8601571606687
2023-09-10,"80 and over",59.1020408163265,207752.173913043,0.000284483380862547,208100,59.2009915574961
2023-09-11,"80 and over",58.4489795918367,207769.565217391,0.000281316368596531,208100,58.5419363049382
2023-09-12,"80 and over",57.7959183673469,207786.956521739,0.000278149886474227,208100,57.8829913752867
2023-09-13,"80 and over",57.1428571428571,207804.347826087,0.00027498393436253,208100,57.2241567408426
2023-09-14,"80 and over",57.6530612244898,207821.739130435,0.000277415930911372,208100,57.7302552226564
2023-09-15,"80 and over",58.1632653061225,207839.130434783,0.000279847520457046,208100,58.2362690071112
2023-09-16,"80 and over",58.6734693877551,207856.52173913,0.000282278703101715,208100,58.7421981154668
2023-09-17,"80 and over",59.1836734693878,207873.913043478,0.000284709478947505,208100,59.2480425689759
2023-09-18,"80 and over",59.6938775510204,207891.304347826,0.000287139848096511,208100,59.753802388884
2023-09-19,"80 and over",60.2040816326531,207908.695652174,0.000289569810650792,208100,60.2594775964297
2023-09-20,"80 and over",60.7142857142857,207926.086956522,0.000291999366712371,208100,60.7650682128444
2023-09-21,"80 and over",59.8571428571429,207943.47826087,0.000287852946184014,208100,59.9021981008934
2023-09-22,"80 and over",59,207960.869565217,0.000283707219167486,208100,59.0394723087537
2023-09-23,"80 and over",58.1428571428571,207978.260869565,0.000279562185488808,208100,58.176890800221
2023-09-24,"80 and over",57.2857142857143,207995.652173913,0.000275417844974065,208100,57.3144535391029
2023-09-25,"80 and over",56.4285714285714,208013.043478261,0.000271274197449395,208100,56.4521604892192
2023-09-26,"80 and over",55.5714285714286,208030.434782609,0.000267131242740999,208100,55.5900116144019
2023-09-27,"80 and over",54.7142857142857,208047.826086957,0.000262988980675131,208100,54.7280068784949
2023-09-28,"80 and over",54.9795918367347,208065.217391304,0.000264242108921721,208100,54.9887828666102
2023-09-29,"80 and over",55.2448979591837,208082.608695652,0.000265495027698285,208100,55.2495152640132
2023-09-30,"80 and over",55.5102040816327,208100,0.000266747737057341,208100,55.5102040816327
2010-12-29,"Under 30",3.57142857142857,1807285,1.97612915031584e-06,1993780,3.93996677731672
2010-12-30,"Under 30",3.40816326530612,1807312.5,1.88576312359159e-06,1993780,3.75979680055444
2010-12-31,"Under 30",3.24489795918367,1807340,1.79539984683771e-06,1993780,3.5796323066281
2011-01-01,"Under 30",3.08163265306122,1807366.11111111,1.70504063018352e-06,1993780,3.3994759076473
2011-01-02,"Under 30",2.91836734693878,1807392.22222222,1.6146840243401e-06,1993780,3.21932471404881
2011-01-03,"Under 30",2.75510204081633,1807418.33333333,1.52433002919431e-06,1993780,3.03917872560703
2011-01-04,"Under 30",2.59183673469388,1807444.44444444,1.43397864463299e-06,1993780,2.85903794209637
2011-01-05,"Under 30",2.42857142857143,1807470.55555556,1.34362987054302e-06,1993780,2.67890236329126
2011-01-06,"Under 30",2.48979591836735,1807496.66666667,1.37748299307182e-06,1993780,2.74639804192674
2011-01-07,"Under 30",2.55102040816327,1807522.77777778,1.41133513752981e-06,1993780,2.81389177050419
2011-01-08,"Under 30",2.61224489795918,1807548.88888889,1.44518630395936e-06,1993780,2.8813835491081
2011-01-09,"Under 30",2.6734693877551,1807575,1.47903649240286e-06,1993780,2.94887337782298
2011-01-10,"Under 30",2.73469387755102,1807601.11111111,1.51288570290269e-06,1993780,3.01636125673333
2011-01-11,"Under 30",2.79591836734694,1807627.22222222,1.54673393550123e-06,1993780,3.08384718592365
